Name	Coefficient
Intercept	7.991917
DKK1	-0.015172
CSF2	-0.014066
HSPA6	-0.014037
HSPA7	-0.013082
IL36G	-0.011959
ANKRD1	-0.011842
GJA5	-0.011560
GADD45A	-0.011079
CXCL1	-0.011075
IER5	-0.010969
SOX9	-0.010881
SIK1	-0.010712
NMU	0.010698
KRT23	-0.010642
HBEGF	-0.010401
CXCL2	-0.010377
CXCL3	-0.010239
DNAJB1	-0.010095
PLK2	-0.009972
KRT75	-0.009740
LIF	-0.009631
TNS4	-0.009630
TP63	-0.009587
IFFO2	-0.009499
CPA4	-0.009484
DUSP6	-0.009437
PDGFB	-0.009337
C1orf116	-0.009330
BAG3	-0.009301
AMIGO2	-0.009297
CLDN1	-0.009138
AREG	-0.009074
WNT7A	-0.009007
TAC1	0.008784
ALOXE3	-0.008683
TNFRSF8	0.008683
PLAU	-0.008681
EGLN3	-0.008633
TMEM40	-0.008551
CDCA3	0.008545
TGFB2	-0.008537
SFN	-0.008532
HOXC13	-0.008514
DUSP10	-0.008325
XDH	-0.008299
DAPP1	-0.008250
SOCS3	-0.008246
MIR3197	-0.008223
EMILIN3	0.008216
FANCD2	0.008157
EPHA2	-0.008116
SERPINB5	-0.008060
USP54	-0.008057
TLR4	-0.008007
IRS2	-0.007981
F3	-0.007915
EDN1	-0.007877
ZC3H12A	-0.007751
HSPA1A	-0.007731
BMP2	-0.007725
MICALCL	-0.007714
CDC42EP3	-0.007710
BCAR3	-0.007690
CEBPD	-0.007642
C1orf106	-0.007637
SPRY2	-0.007629
TBX3	-0.007584
HSPA1B	-0.007578
IER3	-0.007567
FOXC2	-0.007560
CR2	0.007532
ATP1B1	-0.007532
FERMT3	-0.007518
LOC440896	0.007509
INHBA	-0.007484
HSPH1	-0.007480
GDF15	-0.007464
LIPG	-0.007455
USP43	-0.007444
CITED4	-0.007400
MYC	-0.007346
RIPK4	-0.007300
GATA3	-0.007249
DEDD2	-0.007217
NRG1	-0.007195
MATK	0.007178
ERRFI1	-0.007175
NEDD4L	-0.007172
AMOTL2	-0.007148
NGF	-0.007137
OSGIN1	-0.007132
CRYAB	-0.007123
PPP1R15A	-0.007121
CITED2	-0.007115
HAS2	-0.007081
KRT16	-0.007065
IFI6	-0.007043
EGR3	-0.007042
NEDD9	-0.006997
IRF6	-0.006994
KLF5	-0.006979
FOXC1	-0.006954
NUAK1	-0.006942
CLCF1	-0.006940
KLHDC7B	-0.006900
NKX6-2	0.006891
MAFF	-0.006864
RNF144B	-0.006851
C10orf10	-0.006831
HPGD	0.006819
TSPAN7	0.006785
BTG1	-0.006773
PMEPA1	-0.006770
HSPB8	-0.006765
KLHL25	-0.006718
POU2F2	-0.006674
BCL2L1	-0.006673
IRX1	-0.006670
CEBPB	-0.006658
SMTN	-0.006650
BNC1	-0.006643
YBX2	0.006619
SP6	-0.006588
KRT7	-0.006582
TGFA	-0.006567
HERPUD1	-0.006566
PDE1C	-0.006560
ETS2	-0.006553
UBC	-0.006552
SOX4	-0.006534
PLEKHA6	-0.006501
ADAMTS5	-0.006501
DUSP7	-0.006475
PHLDB2	-0.006475
IER5L	-0.006466
EFNB1	-0.006442
TUFT1	-0.006400
ABCG2	0.006360
UBASH3B	-0.006330
CTGF	-0.006328
PLK3	-0.006326
SOX7	-0.006320
ADD2	0.006302
SHC4	-0.006275
TMEM2	-0.006264
LMCD1	-0.006233
SMURF2	-0.006214
FGD6	-0.006211
ITGA2	-0.006203
TFAP2A	-0.006188
RASA1	-0.006171
ANKRD35	0.006130
ELL2	-0.006120
TES	-0.006098
SGK223	-0.006079
TRAF3IP3	-0.006078
CCL2	-0.006064
FAM110C	-0.006050
PARPBP	0.006037
THBS1	-0.005975
MATN3	0.005974
RASSF10	-0.005948
EFNA1	-0.005933
TMEM139	-0.005885
AJUBA	-0.005881
TGIF1	-0.005880
ARSE	0.005878
PTPRE	-0.005845
LGALSL	-0.005843
SGK1	-0.005843
BST2	-0.005804
DIAPH3	0.005786
BTG2	-0.005778
FAM83B	-0.005767
MYO10	-0.005756
BTN1A1	0.005754
JUP	-0.005754
SLC27A3	0.005727
SNX10	0.005687
CDK6	-0.005663
KIAA0226L	-0.005659
PLEKHG3	-0.005638
PKP1	-0.005634
DCBLD2	-0.005613
MAP2K3	-0.005576
CCDC34	0.005570
TBC1D10A	-0.005555
DTYMK	0.005532
ZFP36L1	-0.005519
CDKN1A	-0.005488
RUSC2	-0.005480
EDNRB	0.005471
KCTD11	-0.005457
CHMP4C	-0.005439
NFKBIZ	-0.005417
CMIP	-0.005417
NOTCH1	-0.005408
HSPB1	-0.005383
MXD1	-0.005380
BPGM	-0.005347
PAX8	-0.005332
GFRA3	0.005321
PXDC1	-0.005318
FOSL2	-0.005316
PPP1R13L	-0.005305
KRT17	-0.005295
DUSP14	-0.005271
SVIL	-0.005268
FST	-0.005262
PXN	-0.005259
IRX3	-0.005245
JUN	-0.005241
DSCAM	-0.005224
ZSWIM6	-0.005207
SLC43A1	0.005206
SUSD5	0.005197
HIST1H2BK	0.005170
TOB1	-0.005170
TBC1D2	-0.005124
FZD8	-0.005124
ZNF503	-0.005123
CLK1	-0.005113
CPEB4	-0.005102
ANXA3	-0.005091
EHD1	-0.005091
TNFRSF21	-0.005069
TBC1D22B	-0.005050
FAM214B	-0.005040
IQGAP2	0.005019
SERPINB8	-0.005019
BCL10	-0.005015
CYR61	-0.005005
PLBD1	0.005004
POC1A	0.004991
KIAA1324	0.004984
BHLHE40	-0.004979
SH3RF1	-0.004959
EFNB2	-0.004927
TMEM51	-0.004923
TIPARP	-0.004922
H1F0	-0.004913
PHC2	-0.004907
CCDC71L	-0.004896
TRAF3IP2	-0.004873
SERTAD1	-0.004857
LDLR	-0.004852
OLFM1	0.004848
F2RL1	-0.004840
NT5DC2	0.004837
RGMB	-0.004827
SEMA6A	-0.004807
CCND3	0.004805
NAV2	-0.004801
NFKBIE	-0.004795
SCARA3	0.004783
SHISA9	-0.004778
ATP6V1B2	-0.004770
MEF2D	-0.004753
LRRC20	0.004745
NKX2-8	-0.004715
NFKBIA	-0.004710
HES1	-0.004709
HPS5	-0.004704
GRAMD3	-0.004701
STK17A	-0.004691
KRT6B	-0.004683
KIAA0040	-0.004674
CCRN4L	-0.004658
RNF19A	-0.004650
KLHL29	-0.004639
PDP1	-0.004634
BCL11A	-0.004632
C16orf72	-0.004625
IRF9	-0.004582
ELL	-0.004582
DRAM1	-0.004561
SHB	-0.004558
KRT6A	-0.004556
TJP1	-0.004538
ZFAND5	-0.004521
TRIM22	-0.004494
C6orf132	-0.004486
TFAP2C	-0.004481
FHL2	-0.004442
ANXA8L1	-0.004431
C11orf84	-0.004429
UBE2H	-0.004428
EIF2AK3	-0.004423
LATS2	-0.004422
SDC4	-0.004420
EMP1	-0.004394
CCND1	-0.004393
LSM4	0.004376
CCNJL	-0.004372
ARL6IP1	-0.004350
PIM1	-0.004324
SLC31A2	-0.004314
SMURF1	-0.004300
IRF2BP2	-0.004289
MTSS1	-0.004274
ZNF436	-0.004255
CTSF	0.004249
BDNF	-0.004245
VASP	-0.004235
KIAA0247	-0.004230
PDGFRL	0.004230
TIMM13	0.004204
MEX3C	-0.004200
KRT6C	-0.004198
GRHL2	-0.004188
FRMD8	-0.004186
FEM1C	-0.004185
VDR	-0.004179
INPP4B	-0.004152
SERPINE1	-0.004118
ANXA8	-0.004114
EIF4A2	-0.004104
FRMD5	-0.004100
RAPH1	-0.004091
OSBPL3	-0.004067
POLD2	0.004066
TNFRSF12A	-0.004012
KRT8	-0.003994
BLCAP	-0.003980
CCNL1	-0.003978
DCUN1D3	-0.003962
SERTAD2	-0.003932
ADM	-0.003926
MKL1	-0.003894
SORD	0.003894
SEC14L2	-0.003889
PDLIM4	-0.003881
PARP9	-0.003863
BTBD10	-0.003850
IP6K2	-0.003834
AHCY	0.003831
FKBP11	0.003822
FHDC1	-0.003804
TLE1	-0.003804
ARHGEF2	-0.003801
RBPMS2	0.003793
SIPA1L2	-0.003785
