!Sample_title	PI3K_1	PI3K_2	PI3K_3	PI3K_4	PI3K_5	PI3K_6	PI3K_7	PI3K_8	GFP_1	GFP_2	GFP_3	GFP_4	GFP_5	GFP_6	GFP_7	GFP_8	GFP_9	GFP_10	GFP_11
200010_at	11.46987	11.39667	11.31015	11.36208	11.31621	11.17053	11.27952	11.28137	11.33008	11.35351	11.27282	11.29445	11.29362	11.26393	11.28734	11.34596	11.39918	11.38428	11.46534
200011_s_at	8.006031	8.224183	8.120751	8.068453	8.104587	7.986731	7.923184	7.808258	7.802543	7.605528	7.815961	7.652048	7.409035	7.530191	7.776792	7.485683	7.569614	7.517383	7.307367
200012_x_at	12.36761	12.32432	12.39139	12.34757	12.29096	12.23149	12.2935	12.33288	12.30944	12.2411	12.11484	12.1089	12.09292	12.17512	12.20577	12.26196	12.14946	12.04045	12.11538
200013_at	11.25443	11.23186	11.20062	11.3668	11.19049	11.12208	11.18303	11.20656	11.00121	11.04815	10.9645	10.79587	10.87525	10.82868	10.91671	11.04572	11.05815	10.93473	11.02668
200014_s_at	9.48243	9.432352	9.585174	9.510861	9.38389	9.385033	9.30696	9.301875	8.971877	9.149694	8.601706	8.679662	8.586731	8.422152	8.809425	9.142821	9.228544	9.050344	8.859639
200015_s_at	9.323551	9.201858	9.484219	9.311199	9.435782	9.323551	9.213388	9.242887	9.390798	9.305552	9.222063	9.36997	9.323551	9.130533	9.431312	9.323551	9.323551	9.2531	9.3969
200016_x_at	11.17747	11.24537	11.31087	11.28751	11.2614	11.16284	11.06683	11.16662	11.34875	11.30992	11.27662	11.34062	11.15996	11.24195	11.24817	11.41819	11.54833	11.33707	11.27578
200017_at	11.93107	11.87638	11.77574	11.88588	11.75096	11.85023	11.93438	11.78945	11.93645	11.92841	11.82089	11.88525	12.01074	11.83415	11.84437	11.91615	11.97332	11.86569	12.04681
200018_at	12.12022	12.01367	12.21047	12.20568	12.15771	12.14063	12.07277	12.13682	12.14614	12.16035	12.00768	12.10104	11.98218	12.16326	12.07946	12.1004	12.17302	11.963	12.09388
200019_s_at	11.37486	11.40207	11.21245	11.55391	11.50117	11.36465	11.17038	11.33787	11.27061	11.32704	11.21853	10.99458	11.17492	11.23865	11.18269	11.34265	11.32764	11.14223	11.20021
200020_at	8.080923	8.066034	8.100948	8.337449	8.096676	8.28283	8.195639	8.105758	8.469439	8.68212	8.699003	8.721162	8.75781	8.707288	8.676661	8.736684	8.801596	8.922153	8.978327
200021_at	12.24566	12.20684	12.30237	12.26733	12.39486	12.38154	12.15116	12.21287	12.20684	12.14254	12.18415	12.17016	12.12156	12.15214	12.20684	12.02195	12.098	12.07534	12.02957
200022_at	11.47109	11.5386	11.55652	11.62708	11.58531	11.4861	11.49237	11.48682	11.42967	11.24428	11.3379	11.35628	11.28723	11.26157	11.25001	11.42849	11.39656	11.30641	11.26193
200023_s_at	11.09626	11.21134	11.22321	11.3716	11.32234	11.09411	11.04461	11.16285	10.95754	10.9498	10.95675	10.90578	10.72186	10.84576	10.93778	11.05485	10.95501	10.9233	10.73159
200024_at	12.03275	12.28163	12.16211	12.27297	12.25184	12.03262	12.12195	12.13529	12.23301	12.18958	12.10296	12.17681	12.15334	12.12903	12.12903	12.29063	12.15499	12.12903	12.00809
200025_s_at	11.7161	11.61619	11.69011	11.763	11.6694	11.6523	11.54747	11.64542	11.86018	11.72311	11.62321	11.60774	11.57116	11.53011	11.61769	11.75042	11.77241	11.55447	11.72173
200026_at	11.85822	11.94946	11.88386	12.03633	11.8533	11.87668	11.91596	11.86692	11.88232	11.93037	11.93037	11.88029	11.79413	12.02691	11.91178	11.94136	11.93836	12.02132	11.9589
200027_at	10.51022	10.65394	10.69067	10.47359	10.38018	10.63441	10.39431	10.47953	10.4382	10.49145	10.44785	10.49891	10.42831	10.38394	10.44478	10.50918	10.69282	10.51447	10.61897
200028_s_at	8.702289	8.939446	8.853849	8.831492	8.927288	8.963159	8.737458	8.83884	8.452451	8.519042	8.329659	8.499769	8.363657	8.499121	8.636713	8.645712	8.645712	8.501781	8.501411
200029_at	12.46112	12.53255	12.46146	12.57065	12.4788	12.38537	12.3962	12.45121	12.49825	12.50872	12.27979	12.29087	12.3638	12.38384	12.38864	12.42371	12.42172	12.30578	12.17414
200030_s_at	11.63046	11.70523	11.64815	11.70625	11.67107	11.69229	11.58121	11.63046	11.61335	11.67762	11.569	11.51268	11.52041	11.59764	11.62909	11.65117	11.65959	11.70479	11.62718
200031_s_at	12.51494	12.54041	12.48146	12.60752	12.60905	12.44184	12.43858	12.50033	12.45232	12.46836	12.41367	12.39491	12.33004	12.24428	12.30677	12.43072	12.38211	12.22414	12.30368
200032_s_at	12.16151	12.01951	12.07994	12.0511	12.0889	11.95314	12.00676	12.09959	12.16992	12.13081	12.16326	12.13511	12.04414	12.15794	12.0994	12.30317	12.24877	12.17735	12.15004
200033_at	10.53553	10.12562	10.11372	9.815748	9.867368	10.10914	10.3223	10.10306	10.94158	10.87545	10.9808	10.87415	11.09248	10.80366	10.99252	10.9528	11.00948	11.03021	11.37785
200034_s_at	12.20285	12.04653	12.06917	12.1643	12.156	11.98349	11.97001	12.08647	12.1498	12.01212	11.95599	12.05502	11.92174	11.98907	12.02141	12.13939	12.14184	11.89113	11.93656
200035_at	7.189136	6.762671	6.939405	7.15571	7.196714	6.864226	6.914504	6.955468	7.163312	7.160909	6.764872	7.112111	6.968317	6.898069	7.01739	7.033804	6.538405	6.564459	6.6894
200036_s_at	12.25595	12.24859	12.11182	12.13467	12.01335	12.02698	11.94167	12.06247	12.18927	12.11116	11.98884	11.99085	12.06447	11.94939	12.0313	12.18631	12.19184	12.02365	12.11765
200037_s_at	8.668981	8.672881	8.670794	8.726284	8.616783	8.547936	8.321898	8.447085	8.332256	8.424391	8.209094	8.224464	8.191644	8.179016	8.195764	8.337662	8.448679	8.301646	8.429163
200038_s_at	12.24216	12.23755	12.14182	12.24993	12.25942	12.10418	12.13614	12.18047	12.16444	12.1191	12.07601	12.03034	12.0079	12.07792	12.03009	12.28554	12.28823	12.16191	12.1858
200039_s_at	9.815399	9.747316	9.675543	9.891809	9.726303	9.7181	9.679253	9.805536	9.317384	9.37275	9.193437	9.297736	9.231733	9.341069	9.364635	9.440866	9.405414	9.373237	9.239038
200040_at	8.660961	8.641745	8.606033	8.772698	8.692835	8.474878	8.581679	8.603024	8.552342	8.449055	8.51542	8.468075	8.360003	8.529698	8.571236	8.568041	8.391223	8.065287	8.283193
200041_s_at	10.79855	10.77936	10.65064	10.70006	10.65234	10.77241	10.80151	10.70463	10.91874	10.96601	11.02755	11.0556	11.15232	10.79597	10.93935	10.84511	10.72463	10.80783	10.999
200042_at	9.381153	9.594287	9.485463	9.575754	9.460546	9.453131	9.283813	9.366693	9.187399	9.104826	9.086358	9.141689	8.941484	9.160526	8.976476	9.100444	9.183317	8.966482	9.037995
200043_at	9.511027	9.606614	9.588411	9.580573	9.508671	9.380598	9.280013	9.382071	9.10072	8.657848	8.649078	8.616578	8.783588	8.786939	8.890889	9.311079	9.250357	9.134379	9.162325
200044_at	7.770765	7.838675	7.837197	7.749859	7.788454	7.879565	7.508358	7.792788	7.636115	7.345974	7.303119	7.624739	7.523915	7.355859	7.634295	7.576799	7.861325	7.605278	7.403185
200045_at	8.612187	8.405383	8.294186	8.343676	8.701061	8.442183	8.188783	8.289223	7.998207	7.990336	7.921762	8.080341	8.059145	8.137051	8.087692	7.885788	7.768099	7.841163	7.821251
200046_at	9.633241	9.576963	9.566544	9.660658	9.436308	9.854092	9.838715	9.734895	9.367263	9.526252	9.273336	9.696398	9.185318	9.36652	9.695388	9.423884	9.571817	9.817544	9.330028
200047_s_at	8.821214	9.06407	8.967542	8.894699	8.840714	8.999982	8.83712	8.714373	8.524194	8.380887	8.280468	8.383778	8.204639	8.250581	8.364111	8.856339	8.77221	8.678968	8.865572
200048_s_at	9.420856	9.467634	9.343845	9.520677	9.207767	9.432008	9.379315	9.479283	9.088755	9.018206	8.901882	8.77466	8.93116	8.937789	9.043672	9.211116	9.076393	8.889972	8.964753
200049_at	6.797421	6.743989	7.055112	6.783602	6.871705	6.998159	6.983593	6.840578	6.631737	6.567311	6.361872	6.531838	6.324577	6.405238	6.571961	6.365514	6.551217	6.517682	5.954123
200050_at	8.46828	8.482198	8.229889	8.271853	8.311599	8.602501	8.220643	8.111207	7.926139	7.881564	7.981596	8.009377	8.022881	7.648653	8.007583	7.990967	8.111207	8.017835	8.292811
200051_at	7.166224	7.417844	7.108505	7.432616	7.315852	7.056996	7.027431	7.261003	7.464836	7.459613	7.485163	7.507887	7.30074	7.26544	7.241358	7.26032	6.965328	7.091485	7.248419
200052_s_at	8.82459	9.075479	8.930389	9.19932	8.786795	8.908891	8.90742	8.965459	8.29049	8.354618	7.876897	8.080896	8.363657	8.339658	8.153646	8.52096	8.828066	8.466846	8.462895
200053_at	9.084764	9.26957	9.292369	9.274681	9.307239	9.100994	9.057884	9.184648	9.235018	8.958824	9.502289	9.477039	9.246631	9.417573	9.184648	9.290881	9.223935	9.162975	9.008093
200054_at	6.156699	7.017884	6.524659	6.614289	6.552454	6.813888	6.580707	6.421349	6.18491	6.161881	5.951667	5.413647	5.889692	5.765351	5.841992	6.188353	6.200521	5.985535	6.023926
200055_at	9.507471	9.669312	9.720913	9.771474	9.699206	9.556222	9.463925	9.558201	9.452751	9.525516	9.146099	9.211737	9.273893	9.440145	9.43316	9.411665	9.167538	9.05245	9.096401
200056_s_at	6.076165	6.58317	6.35751	6.41638	6.352388	6.541553	6.437787	6.292035	6.001486	5.849681	5.843853	6.206819	5.77182	5.821987	6.20776	5.989854	6.124115	6.184207	6.116476
200057_s_at	10.9636	10.92494	10.97742	11.0377	10.97776	10.85185	10.89917	10.87153	10.86577	10.86537	10.90776	10.89424	10.7916	10.7393	10.82685	10.80432	10.78582	10.82173	10.71576
200058_s_at	9.256727	9.077628	9.143453	9.083413	9.300091	9.199536	9.242562	9.08609	9.455399	9.586873	9.678677	9.521591	9.48062	9.249455	9.484715	9.416269	9.510275	9.306775	9.629037
200059_s_at	11.68373	11.68644	11.80757	11.75	11.62733	11.63704	11.5806	11.55555	11.30076	11.31172	11.12787	11.15137	11.16067	11.15955	11.17957	11.21694	11.36014	11.17427	11.19049
200060_s_at	9.094318	9.287341	9.204957	9.120512	9.19228	9.185799	9.037554	8.909114	8.676735	8.617977	8.664249	8.766742	8.747346	8.492548	8.683795	8.951803	8.891182	8.922641	8.884562
200061_s_at	12.78631	12.73113	12.79112	12.73412	12.69054	12.7005	12.70645	12.69769	12.69943	12.68524	12.60782	12.69054	12.60598	12.5909	12.67513	12.75862	12.73851	12.66471	12.66265
200062_s_at	12.32905	12.23025	12.25695	12.35089	12.13444	12.22036	12.14038	12.21386	12.31717	12.33397	12.20309	12.17831	12.21473	12.19488	12.23659	12.26068	12.22456	12.22262	12.23448
200063_s_at	12.01327	11.85498	11.92954	11.89844	11.81206	11.73105	11.8079	11.65524	11.92965	11.82161	11.76132	11.80602	11.80592	11.76751	11.84218	11.97624	12.01614	12.00523	12.05487
200064_at	10.98788	11.03946	11.00432	11.1341	11.11917	11.05412	11.02598	11.01455	10.8101	10.85653	10.86529	10.82268	10.58643	10.86507	10.86768	10.74689	10.79684	10.78643	10.54712
200065_s_at	10.68331	10.64682	10.64234	10.92563	10.70432	10.6144	10.58131	10.61784	10.11453	10.08661	10.0931	10.19121	10.12836	10.03438	10.17847	10.11353	10.24238	10.3657	10.01762
200066_at	8.534266	8.562129	8.360376	8.40172	8.550618	8.278631	8.111247	8.384609	8.398756	8.37057	8.429322	8.248956	8.218575	8.20479	8.45192	8.440446	8.256866	8.005143	8.070417
200067_x_at	9.833321	10.12132	9.970648	10.11714	9.939363	9.833142	9.710851	9.707401	9.445631	9.378713	9.160015	9.062115	9.144808	9.288721	9.527781	9.695122	9.717603	9.369714	9.157565
200068_s_at	11.51453	11.66579	11.70005	11.4748	11.49451	11.87067	11.80093	11.69486	11.91699	11.89297	11.9548	12.05894	12.02866	11.95196	12.06935	11.90635	12.01363	12.10598	12.10554
200069_at	5.054653	5.417466	5.234227	5.048872	5.188491	5.347354	4.906617	5.174491	4.726246	4.894354	5.116005	5.274138	4.937953	5.023405	5.158951	5.160736	5.363333	5.294989	5.39069
200070_at	7.084957	6.810296	6.700576	6.83163	6.854169	6.942846	7.045661	6.780079	6.783846	6.515306	6.889295	6.591609	6.813637	6.735033	7.102985	6.647455	6.517334	6.384621	6.810296
200071_at	7.916251	8.151384	8.098379	7.946805	7.796049	8.175345	7.978837	7.943638	7.262381	7.34367	7.396314	7.453804	7.290214	7.373773	7.435277	7.737815	7.734169	7.79778	7.75867
200072_s_at	8.57707	8.72403	8.50935	8.775402	8.623459	8.680807	8.595917	8.529144	9.048273	9.181129	9.185366	8.946748	8.954708	8.9844	8.877207	9.088459	8.953552	8.875238	8.822151
200073_s_at	8.93206	8.867468	8.836676	8.600706	8.796227	8.609346	8.694876	8.696646	9.054161	8.972567	9.008841	9.153996	8.928087	8.94061	9.118113	9.46579	9.44434	9.305386	9.547272
200074_s_at	11.14393	11.17754	11.06244	11.35503	11.12004	11.01965	11.07745	11.08215	11.13544	11.05513	10.94271	10.92378	10.93064	10.91703	10.96895	11.19279	11.11946	11.02354	11.1416
200075_s_at	9.019164	9.206529	9.157166	9.347496	9.205265	9.074692	8.814127	8.919429	9.096183	9.057058	9.02147	8.975312	8.984776	8.850764	8.862235	9.239044	8.970675	8.727198	9.025717
200076_s_at	8.060962	8.211649	8.20872	8.278721	8.118719	8.107717	7.821943	8.059108	8.244506	8.194278	8.280428	8.344644	7.979517	8.126373	8.102432	8.29587	8.009249	8.109861	8.021897
200077_s_at	11.73213	11.62627	11.66798	11.66842	11.5122	11.45461	11.62605	11.4591	11.56866	11.47408	11.42157	11.4326	11.51503	11.44961	11.4471	11.6369	11.69689	11.60338	11.72949
200078_s_at	8.9149	8.950537	8.903615	9.047965	8.774633	9.217716	9.261133	9.190772	8.834258	8.840158	8.577339	8.994677	8.94847	8.937869	8.969368	9.061402	9.111325	9.122004	9.107155
200079_s_at	9.804299	9.967106	9.839463	10.08528	9.893033	9.824362	9.742218	9.772982	9.672297	9.55405	9.406465	9.618213	9.238689	9.431502	9.45932	9.546764	9.513036	9.650005	9.131903
200080_s_at	11.03268	10.86474	10.88516	10.72386	10.74295	10.71999	10.7047	10.7339	10.83183	10.53077	10.44908	10.51031	10.41837	10.34482	10.60949	10.82911	10.78867	10.58304	10.89184
200081_s_at	12.25516	12.24825	12.20945	12.3871	12.16444	12.20945	12.21542	12.11107	12.28898	12.24844	12.10081	12.18289	12.14134	12.06961	12.1317	12.33207	12.35895	12.29606	12.20349
200082_s_at	12.15234	12.16998	12.13785	12.16895	12.13785	12.10113	12.19366	12.07441	12.14575	12.18185	12.02453	12.0373	12.29639	12.13701	12.06227	12.22053	12.19993	12.17003	12.19838
200083_at	7.781971	7.744477	7.705482	7.574584	7.936821	7.797992	7.781937	7.747064	7.693471	7.749919	7.900814	8.005886	7.80498	7.30771	7.925172	7.66951	7.824353	7.777074	7.857652
200084_at	8.928345	9.2974	9.172352	9.213233	9.028503	9.004682	8.834789	9.018883	8.806675	8.467071	8.46704	8.722729	8.589347	8.633568	8.897231	8.948729	8.972393	8.734094	8.802839
200085_s_at	10.3426	10.36468	10.21672	10.624	10.36805	10.12149	9.949708	10.17159	10.20171	10.34157	9.991772	9.861267	10.06545	10.06888	9.878129	10.35526	10.25646	9.999394	10.01262
200086_s_at	10.47681	10.46109	10.45269	10.56286	10.39237	10.28689	10.35632	10.3919	10.48724	10.58967	10.13811	10.00291	10.27843	10.23842	10.25701	10.49011	10.40316	10.09386	10.27653
200087_s_at	10.01872	10.05903	9.903467	9.787288	9.779425	10.24616	10.06581	10.00077	9.790339	9.789036	8.8513	9.47421	9.719031	9.338791	10.11975	10.02695	10.11606	9.595713	9.931285
200088_x_at	12.42787	12.52036	12.49098	12.74226	12.54051	12.33146	12.29382	12.40921	12.45286	12.522	12.39719	12.30878	12.36315	12.40466	12.44269	12.62217	12.56184	12.48107	12.35683
200089_s_at	11.14373	11.18949	11.208	11.20606	11.19759	11.01304	11.01351	11.00203	11.21337	11.19116	11.13779	11.16576	11.00664	11.02988	11.09175	11.49109	11.29576	11.21528	11.18364
200090_at	10.14921	10.41211	10.39996	10.38774	10.2073	10.27223	10.00444	10.16333	10.24323	10.34853	10.12759	9.800804	10.02071	9.95607	10.21722	10.32078	10.30447	10.22878	10.34112
200091_s_at	11.43155	11.13943	11.25603	11.17399	11.0915	11.02098	11.13879	11.27532	11.37686	11.07356	11.04017	11.22614	11.05111	10.96343	11.08672	11.29068	11.15544	11.05648	11.21983
200092_s_at	11.79568	11.71812	11.83214	11.77225	11.68435	11.73193	11.79343	11.74916	11.92165	11.90007	11.79791	11.77996	11.83299	11.76001	11.76355	11.91547	11.88708	11.81268	11.96946
200093_s_at	10.37662	10.60352	10.43637	10.71279	10.38779	10.44354	10.25971	10.37849	10.26585	10.11899	10.09381	9.925097	9.927004	10.14511	10.27139	10.34207	10.45546	10.24209	10.2217
200094_s_at	11.93229	11.85571	11.97269	12.15663	12.07193	11.88748	11.94431	12.04181	11.94154	11.99068	11.89259	11.94617	11.85215	11.83715	11.85086	11.77108	11.79678	11.89493	11.76191
200095_x_at	12.46416	12.49869	12.49564	12.54337	12.49527	12.43852	12.44466	12.45666	12.49806	12.55941	12.46786	12.44405	12.36527	12.50772	12.48702	12.48577	12.46911	12.44788	12.31087
200096_s_at	10.1146	10.27285	10.2879	10.16714	10.23024	10.29751	10.21395	10.16458	9.617296	9.988368	9.57111	9.805408	9.756685	9.737855	9.823671	9.894191	10.10952	9.942924	9.904331
200097_s_at	7.71561	7.886472	7.820677	7.768129	7.680343	7.976295	7.730787	7.680906	8.28796	8.258225	8.427096	8.516919	8.247475	8.331791	8.296144	8.304449	8.55605	8.555899	8.596004
200098_s_at	8.637847	8.596769	8.566014	8.650753	8.454979	8.507891	8.429214	8.452321	8.541372	8.51774	8.509655	8.46701	8.726281	8.443014	8.479098	8.73013	8.55945	8.633204	8.603932
200099_s_at	12.58208	12.37675	12.34382	12.45882	12.38174	12.40867	12.47547	12.51297	12.5772	12.58008	12.37477	12.41082	12.43288	12.43682	12.33783	12.70848	12.56468	12.49869	12.57008
200593_s_at	9.401846	9.43164	9.291316	9.282725	9.412371	9.26259	9.274502	9.422166	9.23587	9.357325	9.16961	9.485438	9.301304	9.007866	9.186011	9.453473	9.41085	9.43333	9.055934
200594_x_at	10.55836	10.63011	10.50828	10.46879	10.61649	10.56806	10.51274	10.41827	10.59364	10.31977	10.42293	10.57033	10.26368	10.29648	10.47896	10.52622	10.60003	10.45188	10.34943
200595_s_at	9.150477	9.121979	9.19081	9.031824	9.133511	9.235355	9.208576	9.044434	9.329255	9.164053	8.963251	9.12754	9.022314	8.89193	9.107136	9.147319	8.964947	8.87318	9.187519
200596_s_at	10.25155	10.02099	10.06142	10.12415	10.26495	10.15994	10.13239	10.28011	10.18506	10.03715	9.990805	10.05786	9.870003	9.993463	10.05706	10.01386	9.969409	10.10155	9.892772
200597_at	6.618795	6.694843	6.591813	6.600967	6.711467	6.849674	6.750347	6.543053	6.517319	6.35858	6.589385	6.383071	6.403234	6.188412	6.486736	6.351953	6.849453	6.625551	6.413941
200598_s_at	11.70558	11.48616	11.52865	11.46391	11.49499	11.7999	11.65103	11.81111	11.49478	11.5272	11.47226	11.65711	11.60525	11.7995	11.57288	11.50238	11.62983	11.8458	11.78803
200599_s_at	11.21826	10.96832	11.17253	10.86468	11.02536	11.29405	11.28815	11.2527	11.24204	11.13429	11.26391	11.3496	11.34279	11.25431	11.30412	11.25851	11.17972	11.37951	11.4415
