Name	Coefficient
Intercept	8.352190
DKK1	-0.017287
CSF2	-0.016028
HSPA6	-0.015990
ANKRD1	-0.013493
GJA5	-0.013174
GADD45A	-0.012621
CXCL1	-0.012619
IER5	-0.012494
SOX9	-0.012397
SIK1	-0.012204
NMU	0.012187
KRT23	-0.012125
HBEGF	-0.011850
CXCL2	-0.011824
CXCL3	-0.011665
DNAJB1	-0.011499
PLK2	-0.011360
KRT75	-0.011101
LIF	-0.010970
TP63	-0.010925
IFFO2	-0.010824
CPA4	-0.010807
DUSP6	-0.010752
PDGFB	-0.010639
C1orf116	-0.010628
AMIGO2	-0.010596
BAG3	-0.010596
CLDN1	-0.010413
AREG	-0.010337
WNT7A	-0.010260
TAC1	0.010010
PLAU	-0.009891
TNFRSF8	0.009891
ALOXE3	-0.009890
EGLN3	-0.009838
TMEM40	-0.009744
CDCA3	0.009734
TGFB2	-0.009728
SFN	-0.009722
DUSP10	-0.009485
XDH	-0.009455
DAPP1	-0.009398
SOCS3	-0.009393
EMILIN3	0.009359
FANCD2	0.009290
EPHA2	-0.009246
SERPINB5	-0.009184
USP54	-0.009179
TLR4	-0.009122
IRS2	-0.009094
F3	-0.009018
EDN1	-0.008974
ZC3H12A	-0.008829
HSPA1A	-0.008809
BMP2	-0.008799
MICALCL	-0.008789
CDC42EP3	-0.008787
BCAR3	-0.008761
CEBPD	-0.008706
C1orf106	-0.008699
SPRY2	-0.008693
TBX3	-0.008639
HSPA1B	-0.008633
IER3	-0.008623
CR2	0.008580
LOC440896	0.008557
INHBA	-0.008529
HSPH1	-0.008523
GDF15	-0.008502
LIPG	-0.008492
USP43	-0.008480
MYC	-0.008369
RIPK4	-0.008319
GATA3	-0.008258
DEDD2	-0.008221
NRG1	-0.008197
MATK	0.008176
NEDD4L	-0.008169
AMOTL2	-0.008145
NGF	-0.008130
OSGIN1	-0.008124
CRYAB	-0.008114
PPP1R15A	-0.008112
CITED2	-0.008106
HAS2	-0.008069
KRT16	-0.008049
IFI6	-0.008024
EGR3	-0.008023
NEDD9	-0.007971
IRF6	-0.007971
KLF5	-0.007951
FOXC1	-0.007925
NUAK1	-0.007912
CLCF1	-0.007905
KLHDC7B	-0.007863
NKX6-2	0.007851
MAFF	-0.007818
RNF144B	-0.007806
C10orf10	-0.007785
HPGD	0.007767
TSPAN7	0.007730
BTG1	-0.007715
PMEPA1	-0.007713
KLHL25	-0.007652
IRX1	-0.007604
POU2F2	-0.007603
CEBPB	-0.007584
SMTN	-0.007576
BNC1	-0.007568
YBX2	0.007542
SP6	-0.007506
KRT7	-0.007499
TGFA	-0.007482
HERPUD1	-0.007479
PDE1C	-0.007474
ETS2	-0.007465
UBC	-0.007465
SOX4	-0.007445
ADAMTS5	-0.007409
PHLDB2	-0.007378
DUSP7	-0.007377
IER5L	-0.007366
EFNB1	-0.007341
TUFT1	-0.007292
ABCG2	0.007245
CTGF	-0.007211
UBASH3B	-0.007210
PLK3	-0.007206
SOX7	-0.007201
ADD2	0.007180
SHC4	-0.007150
TMEM2	-0.007138
FGD6	-0.007077
ITGA2	-0.007071
TFAP2A	-0.007051
ANKRD35	0.006984
ELL2	-0.006971
TES	-0.006948
SGK223	-0.006926
TRAF3IP3	-0.006926
CCL2	-0.006908
PARPBP	0.006875
THBS1	-0.006809
MATN3	0.006805
RASSF10	-0.006779
EFNA1	-0.006762
TMEM139	-0.006704
AJUBA	-0.006703
TGIF1	-0.006698
PTPRE	-0.006661
LGALSL	-0.006658
SGK1	-0.006657
BST2	-0.006614
BTG2	-0.006583
FAM83B	-0.006570
BTN1A1	0.006556
MYO10	-0.006555
JUP	-0.006555
SLC27A3	0.006523
SNX10	0.006478
CDK6	-0.006453
KIAA0226L	-0.006448
PLEKHG3	-0.006423
DCBLD2	-0.006395
MAP2K3	-0.006351
TBC1D10A	-0.006330
CDKN1A	-0.006252
RUSC2	-0.006243
EDNRB	0.006233
KCTD11	-0.006219
CHMP4C	-0.006198
CMIP	-0.006172
NFKBIZ	-0.006171
NOTCH1	-0.006163
MXD1	-0.006129
BPGM	-0.006092
PAX8	-0.006075
GFRA3	0.006062
FOSL2	-0.006057
PXDC1	-0.006057
PPP1R13L	-0.006044
KRT17	-0.006034
DUSP14	-0.006005
SVIL	-0.006004
FST	-0.005997
PXN	-0.005991
IRX3	-0.005978
JUN	-0.005971
ZSWIM6	-0.005932
SLC43A1	0.005931
TOB1	-0.005891
HIST1H2BK	0.005889
ZNF503	-0.005839
TBC1D2	-0.005838
FZD8	-0.005836
CLK1	-0.005824
CPEB4	-0.005812
ANXA3	-0.005802
EHD1	-0.005800
TNFRSF21	-0.005776
TBC1D22B	-0.005752
FAM214B	-0.005742
IQGAP2	0.005720
SERPINB8	-0.005718
BCL10	-0.005712
CYR61	-0.005703
PLBD1	0.005700
KIAA1324	0.005678
BHLHE40	-0.005672
SH3RF1	-0.005651
EFNB2	-0.005615
TMEM51	-0.005610
TIPARP	-0.005608
H1F0	-0.005598
PHC2	-0.005591
CCDC71L	-0.005577
TRAF3IP2	-0.005551
SERTAD1	-0.005532
LDLR	-0.005529
OLFM1	0.005522
F2RL1	-0.005516
RGMB	-0.005499
SEMA6A	-0.005478
CCND3	0.005474
NAV2	-0.005470
NFKBIE	-0.005463
SCARA3	0.005450
SHISA9	-0.005443
LRRC20	0.005406
NKX2-8	-0.005372
HES1	-0.005366
NFKBIA	-0.005366
HPS5	-0.005361
GRAMD3	-0.005357
STK17A	-0.005345
KRT6B	-0.005336
KIAA0040	-0.005323
RNF19A	-0.005297
KLHL29	-0.005286
PDP1	-0.005281
IRF9	-0.005220
ELL	-0.005219
DRAM1	-0.005199
SHB	-0.005193
TJP1	-0.005170
ZFAND5	-0.005150
TRIM22	-0.005120
C6orf132	-0.005111
TFAP2C	-0.005108
FHL2	-0.005062
ANXA8L1	-0.005049
C11orf84	-0.005046
UBE2H	-0.005045
EIF2AK3	-0.005040
LATS2	-0.005038
SDC4	-0.005037
CCND1	-0.005005
EMP1	-0.005005
LSM4	0.004985
CCNJL	-0.004981
ARL6IP1	-0.004958
SLC31A2	-0.004915
SMURF1	-0.004898
IRF2BP2	-0.004887
MTSS1	-0.004872
CTSF	0.004840
BDNF	-0.004836
PDGFRL	0.004821
KIAA0247	-0.004819
MEX3C	-0.004786
KRT6C	-0.004785
FRMD8	-0.004769
FEM1C	-0.004767
VDR	-0.004763
INPP4B	-0.004732
SERPINE1	-0.004692
ANXA8	-0.004689
EIF4A2	-0.004675
FRMD5	-0.004672
OSBPL3	-0.004634
POLD2	0.004632
TNFRSF12A	-0.004570
KRT8	-0.004550
BLCAP	-0.004536
CCNL1	-0.004532
DCUN1D3	-0.004514
SERTAD2	-0.004480
ADM	-0.004473
MKL1	-0.004437
SEC14L2	-0.004433
PDLIM4	-0.004421
PARP9	-0.004402
BTBD10	-0.004388
IP6K2	-0.004368
AHCY	0.004364
FKBP11	0.004356
FHDC1	-0.004336
TLE1	-0.004334
ARHGEF2	-0.004330
SIPA1L2	-0.004313
PCF11	-0.004309
PTPN14	-0.004279
SLC2A1	-0.004236
ZNF394	-0.004223
LIMK2	-0.004220
TSPAN4	0.004220
IFNGR2	-0.004201
DDX60	-0.004133
PI4K2A	-0.004126
PSMC3	0.004125
NDEL1	-0.004114
CDC42SE1	-0.004113
PHF23	-0.004077
IFI44L	-0.004068
HERC6	-0.004032
NFE2L2	-0.003990
NT5DC3	-0.003953
DNAJB6	-0.003932
DGKA	-0.003930
NTHL1	0.003929
C15orf38	0.003928
MAP2K4	-0.003877
TNFAIP1	-0.003871
DYRK1A	-0.003870
STK10	-0.003850
DNTTIP1	-0.003818
SMARCD3	0.003791
KCTD5	-0.003757
HSP90AB1	-0.003745
TOB2	-0.003705
UROD	0.003703
CTNNB1	-0.003696
AKR7A2	0.003696
H3F3B	-0.003682
SMG8	-0.003660
ERI3	0.003658
AKIRIN2	-0.003608
COMMD4	0.003592
C8orf33	0.003592
IFIT3	0.003567
ATPAF1	0.003567
NUMB	-0.003539
PIP5K1A	-0.003539
ZCCHC6	-0.003532
SFXN5	0.003528
SIX4	-0.003527
CSRNP2	-0.003517
NFKB1	-0.003485
PELI1	-0.003485
ZFYVE1	-0.003482
ARL8A	-0.003468
EZR	-0.003460
OSBP	-0.003454
MRPS25	0.003435
KRT5	-0.003423
FADS3	-0.003417
SLC41A3	0.003413
TAOK3	-0.003398
C18orf25	-0.003396
QDPR	0.003376
MAPK7	-0.003352
AKAP8L	-0.003279
PHB2	0.003254
GYS1	-0.003245
TLE4	-0.003230
AK2	0.003207
LUZP1	-0.003207
POLR2A	-0.003116
FAM120B	-0.003092
YWHAG	-0.003074
XBP1	-0.003068
UBR2	-0.003066
ACP1	0.003062
EPS15L1	-0.003053
EXT1	-0.003031
RBM5	-0.003025
ABAT	-0.003007
ZNF304	-0.003006
ZFHX2	-0.002990
EPG5	-0.002875
MCL1	-0.002864
PSAP	0.002833
KDM4A	-0.002829
SIRPA	-0.002784
SMPD1	0.002746
FKBP4	-0.002646
CHMP1B	-0.002645
GRIA4	0.002637
CELF1	-0.002585
KIAA0319	0.002564
PTPN1	-0.002543
PDAP1	0.002484
IST1	-0.002410
MRPL24	0.002339
NSFL1C	-0.002297
HEXA	0.002210
RPL4	0.001976
PPP1R10	-0.001896
MAPK1IP1L	-0.001612
RAB7A	-0.001462
