Name	Coefficient
Intercept	8.713188
DKK1	-0.027259
CSF2	-0.025269
HSPA6	-0.025236
ANKRD1	-0.021285
GADD45A	-0.019898
CXCL1	-0.019897
IER5	-0.019691
SOX9	-0.019551
SIK1	-0.019242
NMU	0.019210
KRT23	-0.019111
HBEGF	-0.018684
CXCL3	-0.018394
DNAJB1	-0.018136
PLK2	-0.017908
KRT75	-0.017531
IFFO2	-0.017070
CPA4	-0.017042
DUSP6	-0.016943
PDGFB	-0.016778
C1orf116	-0.016755
BAG3	-0.016708
CLDN1	-0.016420
AREG	-0.016311
TAC1	0.015786
PLAU	-0.015602
ALOXE3	-0.015594
EGLN3	-0.015517
TMEM40	-0.015369
SFN	-0.015340
TGFB2	-0.015332
DUSP10	-0.014953
DAPP1	-0.014817
SOCS3	-0.014813
EMILIN3	0.014759
EPHA2	-0.014582
SERPINB5	-0.014485
USP54	-0.014471
IRS2	-0.014343
F3	-0.014215
EDN1	-0.014150
ZC3H12A	-0.013919
HSPA1A	-0.013904
CDC42EP3	-0.013859
BCAR3	-0.013803
CEBPD	-0.013732
C1orf106	-0.013710
SPRY2	-0.013708
HSPA1B	-0.013622
TBX3	-0.013618
CR2	0.013540
LOC440896	0.013502
INHBA	-0.013442
HSPH1	-0.013438
GDF15	-0.013398
USP43	-0.013363
MYC	-0.013199
RIPK4	-0.013127
GATA3	-0.013024
DEDD2	-0.012966
AMOTL2	-0.012838
CRYAB	-0.012800
PPP1R15A	-0.012795
CITED2	-0.012779
HAS2	-0.012722
KRT16	-0.012692
IFI6	-0.012670
EGR3	-0.012645
IRF6	-0.012581
NEDD9	-0.012572
KLF5	-0.012532
FOXC1	-0.012493
MAFF	-0.012328
C10orf10	-0.012282
IRX1	-0.012010
CEBPB	-0.011954
SMTN	-0.011938
BNC1	-0.011934
YBX2	0.011893
KRT7	-0.011826
PDE1C	-0.011784
UBC	-0.011774
ETS2	-0.011769
ADAMTS5	-0.011686
IER5L	-0.011612
EFNB1	-0.011573
TUFT1	-0.011494
CTGF	-0.011364
UBASH3B	-0.011363
PLK3	-0.011363
ADD2	0.011323
TMEM2	-0.011257
ITGA2	-0.011152
FGD6	-0.011151
TFAP2A	-0.011117
MATN3	0.010737
THBS1	-0.010735
EFNA1	-0.010664
AJUBA	-0.010564
TGIF1	-0.010558
SGK1	-0.010504
PTPRE	-0.010497
LGALSL	-0.010496
BST2	-0.010444
BTG2	-0.010375
JUP	-0.010336
BTN1A1	0.010334
CDK6	-0.010168
KIAA0226L	-0.010163
RUSC2	-0.009837
KCTD11	-0.009800
CHMP4C	-0.009770
CMIP	-0.009732
NFKBIZ	-0.009731
NOTCH1	-0.009720
MXD1	-0.009668
BPGM	-0.009605
GFRA3	0.009554
PPP1R13L	-0.009529
KRT17	-0.009527
FST	-0.009463
IRX3	-0.009430
JUN	-0.009415
ZSWIM6	-0.009355
ZNF503	-0.009210
CLK1	-0.009180
ANXA3	-0.009149
TNFRSF21	-0.009107
IQGAP2	0.009029
SERPINB8	-0.009009
PLBD1	0.008986
KIAA1324	0.008954
SH3RF1	-0.008911
TMEM51	-0.008848
TIPARP	-0.008841
H1F0	-0.008822
TRAF3IP2	-0.008751
LDLR	-0.008718
SEMA6A	-0.008641
NFKBIE	-0.008612
SCARA3	0.008598
NKX2-8	-0.008467
HES1	-0.008463
NFKBIA	-0.008459
HPS5	-0.008448
GRAMD3	-0.008445
KRT6B	-0.008420
TFAP2C	-0.008062
FHL2	-0.007983
SDC4	-0.007949
EIF2AK3	-0.007945
CCND1	-0.007892
EMP1	-0.007891
LSM4	0.007857
CCNJL	-0.007853
IRF2BP2	-0.007706
KRT6C	-0.007547
MEX3C	-0.007541
VDR	-0.007510
INPP4B	-0.007463
SERPINE1	-0.007395
EIF4A2	-0.007368
TNFRSF12A	-0.007213
KRT8	-0.007174
BLCAP	-0.007154
SERTAD2	-0.007063
SEC14L2	-0.006990
PDLIM4	-0.006975
PARP9	-0.006939
IP6K2	-0.006894
AHCY	0.006878
FKBP11	0.006867
FHDC1	-0.006838
PCF11	-0.006792
SLC2A1	-0.006683
LIMK2	-0.006654
IFNGR2	-0.006619
IFI44L	-0.006415
HERC6	-0.006362
NT5DC3	-0.006242
DGKA	-0.006198
MAP2K4	-0.006109
TNFAIP1	-0.006099
AKR7A2	0.005832
H3F3B	-0.005805
AKIRIN2	-0.005698
COMMD4	0.005662
PIP5K1A	-0.005580
EZR	-0.005462
FADS3	-0.005389
QDPR	0.005325
PHB2	0.005131
LUZP1	-0.005056
ACP1	0.004829
EXT1	-0.004779
ABAT	-0.004741
PDAP1	0.003916
IST1	-0.003800
NSFL1C	-0.003621
RAB7A	-0.002306
